casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
1,2,1,2,8,3,0,0,0,0,0,9,1,9
2,1,1,1,6,3,0,0,0,0,0,9,1,2
3,1,1,2,9,3,0,0,0,0,0,9,1,10
4,2,1,2,11,3,0,0,0,0,0,9,2,10
5,3,1,1,9,3,0,0,0,0,0,9,3,7
6,4,1,1,8,3,0,0,0,0,0,9,1,9
7,4,2,1,8,3,0,0,2,0,0,9,9,11
8,4,2,1,4,3,0,0,2,0,0,9,9,11
9,2,1,1,10,2,0,0,0,0,0,1,3,5
10,1,1,1,8,3,0,0,0,0,0,9,1,8
11,2,1,1,8,2,0,0,0,0,0,1,1,3
12,1,3,1,11,3,5,2,0,0,0,0,1,10
13,1,1,1,3,3,0,0,0,0,0,1,1,8
14,1,2,2,8,3,0,0,1,0,0,9,1,4
15,1,1,1,8,2,0,0,0,0,0,9,1,3
16,2,1,2,6,3,0,0,0,0,0,9,1,1
17,2,1,1,7,3,0,0,0,0,0,1,1,4
18,1,1,1,6,3,0,0,0,0,0,20,1,7
19,2,1,1,8,2,0,0,0,0,0,20,3,8
20,1,1,1,7,3,0,0,0,0,0,9,1,10
21,1,1,2,8,3,0,0,0,0,0,9,1,2
22,1,1,1,7,3,0,0,0,0,0,9,9,11
23,2,1,1,6,2,0,0,0,0,0,1,1,8
24,2,1,1,9,3,0,0,0,0,0,1,1,10
25,2,1,2,6,3,0,0,0,0,0,9,1,1
26,2,2,2,6,3,0,0,1,0,0,9,1,3
27,2,2,2,2,3,0,0,2,0,0,9,1,3
28,1,1,1,4,3,0,0,0,0,0,2,1,10
29,1,3,1,5,3,10,9,0,0,0,0,9,11
30,1,1,1,4,3,0,0,0,0,0,9,3,5
31,1,2,1,4,3,0,0,1,0,0,9,3,5
32,1,1,1,9,3,0,0,0,0,0,9,1,3
33,2,2,2,11,3,0,0,1,0,0,9,1,3
34,1,1,1,6,3,0,0,0,0,0,9,1,2
35,3,2,2,4,2,0,0,9,0,0,9,1,1
36,1,3,1,3,3,9,8,0,0,0,0,1,5
37,2,1,1,6,2,0,0,0,0,0,1,9,11
38,1,2,1,4,3,0,0,1,0,0,9,1,1
39,3,1,2,6,3,0,0,0,0,0,9,1,8
40,4,1,2,6,2,0,0,0,0,0,9,2,8
41,2,1,1,9,3,0,0,0,0,0,9,1,7
42,1,1,2,4,2,0,0,0,0,0,9,2,1
43,2,1,2,7,3,0,0,0,0,0,1,1,2
44,1,2,2,11,3,0,0,1,0,0,9,3,6
45,1,1,1,5,2,0,0,0,0,0,1,1,3
46,1,1,2,7,3,0,0,0,0,0,9,1,2
47,1,1,2,8,3,0,0,0,0,0,9,9,11
48,1,3,2,1,3,5,3,0,0,0,0,1,1
49,1,3,1,7,3,9,9,0,0,0,0,1,1
